total_pop,deaths,family_households,nonfamily_households,rent_burden_not_computed,median_rent,white_pop,income_per_capita,families_with_young_children,income_less_10000,married_households,armed_forces,employed_pop,civilian_labor_force,unemployed_pop,bachelors_degree,in_school,no_cars,four_more_cars,pop_25_64,median_income,median_age,confirmed_cases,
6203,0,1726,994,64,595,5929,23022,327,208,1362,0,2784,2933,149,427,1106,161,174,3222,38767,50,111,
160985,78,37357,27549,1158,1068,143657,36384,9127,3080,30000,207,90054,93881,3827,30524,46011,4789,2947,83417,66906,36.6,3636,
173145,187,44233,19148,1358,833,108627,27420,12768,3732,31088,2394,78078,83641,5563,16509,47229,3959,4418,86827,57647,37.3,11548,
126190,122,32696,16912,1312,938,115206,39568,5534,2337,26684,129,64576,68718,4142,21818,34665,2260,3499,62046,77862,44.1,5521,
60383,79,16319,8260,398,824,57523,33849,3127,1121,13162,22,30674,32263,1589,8666,12818,1356,1936,32203,65834,46.7,2496,
83204,6,21983,13438,890,1066,71549,43603,4167,1921,16898,2705,41471,43820,2349,16852,18356,2735,2038,43509,75463,44.6,3578,
25191,1,6315,4086,440,797,23895,31390,1545,596,4939,2,13437,13963,526,4006,5862,480,687,13493,54899,40.5,312,
151596,125,35732,19146,886,923,129519,37830,7516,2036,28894,134,80613,85575,4962,21525,48305,2557,4560,73928,81312,37.9,6255,
36825,5,9418,5283,413,803,34245,31051,1901,590,7646,14,19872,20779,907,5487,9391,843,878,18682,61875,43.4,527,
30576,4,7331,4763,309,647,29070,25896,1727,685,5930,2,14475,15216,741,3602,6837,761,702,15921,47371,43.7,307,s
10912,2,2298,1463,162,1515,8050,47924,562,48,1856,20,6408,6659,251,1960,2203,359,152,6326,91942,39.8,990,
509114,1104,131072,53123,2953,1050,416813,39247,31705,7715,100458,275,261653,278442,16789,79833,127500,10964,11629,267231,82081,42.6,32246,
213900,303,58437,36574,1924,1052,192917,40886,9009,3533,46966,516,104246,110258,6012,39428,39018,5038,4509,104241,68048,52.4,7499,
